stop_id,stop_lat,stop_lon
5433015,49.29527,16.66305
5433025,49.30194,16.64805
5457350,50.61527,16.12416
5474452,49.0296604,15.1376726
5433014,49.7925,18.52416
5434304,50.21583,17.66333
8010232,50.9661964,14.2322416
5434917,49.85444,16.55638
5455042,50.77138,15.24944
8010294,50.0547014,12.197912
5473005,50.20888,12.2
5473015,50.21888,12.18333
5473025,50.22916,12.17416
5433035,49.27638,16.6725
5435032,49.74111,17.26833
5474795,49.39916,12.86833
8010415,50.2177173,12.3114829
8010533,50.9189214,14.1389302
5456326,49.86527,15.22055
5454361,50.47194,14.92277
5454371,50.47888,14.93916
5475502,49.44583,14.59805
5613383,48.7314963,19.1464681
5613363,48.7347481,19.1627072
2113850,53.1321512,25.9935383
5105648,50.509529,16.7580075
5105652,50.5048571,16.7337841
5456320,50.36138,15.32444
5456360,50.355,15.31083
5434822,49.96833,16.87472
5475820,49.3175,15.39805
5473792,49.1263901,14.0839587
5433024,49.65083,18.36888
5455951,50.43611,15.085
5475482,49.29972,14.4775
5475472,49.29333,14.48277
5475442,49.31,14.55388
5433045,49.44166,17.16638
5475732,49.19472,15.09194
5475742,49.20888,15.15
5474572,49.324005,15.018893
5456209,50.73805,14.305
5455106,49.78111,14.68166
8010909,52.5103817,13.4349112
8010947,52.4765716,13.3660396
8011120,52.5347694,13.1956287
5433872,50.39638,17.08138
5457300,50.6470623,15.9586539
8102828,48.6880008,16.8790468
5473074,49.95694,14.07555
5476084,49.96694,14.08333
5475515,49.90305,12.96944
5473182,49.44527,13.87527
5473755,49.38055,13.23638
5474145,49.8275,13.59527
5456889,50.51583,14.72944
5434485,49.33166,17.33916
5453853,49.9975,16.33222
5474505,50.08277,12.83111
5454559,50.4552151,13.710812
5456456,49.95583,15.07083
5475462,49.29222,14.51055
5104080,52.0202612,23.1308918
5105983,50.7283844,17.0299699
8101134,47.4179034,13.219954
8011301,51.1254623,14.1858805
5434207,49.64944,16.74472
5434765,49.0770417,17.7165966
5475435,49.7975,13.07361
5473802,49.0963577,14.0759823
5433095,49.35194,16.6475
5433115,49.36111,16.63916
5433012,49.52527,17.24611
5437125,48.94055,17.43916
5474615,49.72305,13.15944
5475186,50.1,13.39
5474722,49.43083,13.8725
5474382,49.1398685,15.0918306
5433125,49.16361,16.79805
5453170,50.21444,15.93583
5473955,49.58083,13.53111
5433042,49.92777,16.93861
5433062,49.94083,16.9025
5474765,49.50138,12.995
5457089,50.61333,14.39527
5433815,49.00416,15.85416
5433634,49.56388,18.74083
5107965,49.9772876,20.4315085
5453760,50.59666,16.21083
5433072,50.02611,16.90111
5453310,50.09083,16.37972
5475112,49.0928349,13.8008633
5475102,49.0976613,13.8141031
5434124,49.90055,18.35944
5474042,49.2134158,14.3920508
5453910,50.32805,16.09555
5453940,50.31194,16.07944
5433145,49.096291,17.926174
5433175,49.05472,17.11916
5435845,48.98777,16.35583
5433052,49.95166,16.87583
5433092,49.66277,17.28083
5434166,49.08611,15.85361
5434314,50.24,17.71472
5455909,50.49111,14.14888
5455616,49.8675,14.34472
5433185,49.03611,17.79555
5433005,49.03527,17.81083
5455606,49.88027,14.34861
5433604,49.96305,18.07305
5454030,50.21444,16.065
5456009,50.73361,14.18777
5455396,49.68444,14.94972
8302026,46.4964289,11.3588046
5476575,49.7175,12.77833
5476755,49.68777,12.78111
5436405,49.40111,16.36583
5106016,50.8789262,17.02458
5455350,50.53555,15.23166
5475615,49.635,12.76861
5473375,50.0675,13.13222
5454050,50.09694,16.08555
5474162,48.89111,14.6425
5456700,50.50916,15.60444
5456720,50.5,15.65888
5475375,49.52666,13.29916
5455073,49.74305,16.16138
5455003,49.73166,16.17444
5476092,48.9270273,14.4440054
5433205,49.49111,16.65111
5475825,50.35916,13.08222
5436775,48.91611,16.85
5455623,49.98027,15.92222
5455199,50.58555,13.93694
5433215,48.73777,16.86694
5456546,50.01527,15.015
5456566,49.99944,15.01222
5475532,49.4475,14.49444
5433225,48.82305,16.2875
5474075,50.25611,12.775
5454646,50.18388,14.65333
5454666,50.18,14.67833
5454650,50.18361,14.66472
5453843,50,16.28388
5454546,50.18416,14.17277
5475572,49.4025,14.34527
5433584,49.88916,17.87777
5435275,49.15027,17.13361
5433236,49.45916,17.90583
5433112,50.14666,17.015
5433255,49.30555,15.74916
5433122,50.05194,17.61138
5613206,48.158933,17.1066995
5476894,49.73833,14.00277
8302001,47.0024092,11.505536
2113000,52.1000103,23.681038
5614386,48.7867719,17.5562367
5457199,50.71638,14.72861
5438015,49.18277,16.61555
5433295,49.19083,16.61333
5438026,49.182348,16.607244
5434075,49.13194,16.65694
5433305,49.16722,16.60666
5433315,49.23027,16.59694
5433335,49.22055,16.62666
5433355,49.216323,16.647697
5433365,49.16944,16.68194
5433385,49.18833,16.63055
5433325,49.25055,16.59027
5433395,49.20166,16.635
5474935,49.82888,12.74111
5433142,49.48194,17.33722
5613026,48.692636,17.023
5453610,50.58055,16.33944
5453650,50.60777,16.32805
5454719,50.6085288,13.9361569
5456469,50.9518015,14.4387387
5433405,49.0942632,18.0365867
5433435,49.0851419,18.0256981
5434285,48.94722,16.90583
5433162,49.99333,17.47444
5106210,50.8529011,17.4708931
5107980,49.986778,20.6089461
5435172,49.43722,17.96694
5454411,50.47861,14.98611
5510033,47.5107788,19.0575853
5433084,49.79555,17.61388
5436725,49.2725,16.00888
5454197,50.404824,14.1344127
5456186,49.72222,15.18444
5475252,48.70194,14.43222
5456031,50.44333,14.83305
5455510,50.38805,15.42472
5433505,49.14527,16.99972
5456336,49.89138,15.24
5433535,49.0675,18.01416
5435292,49.59861,17.3225
5105739,50.2856474,16.6470179
5105741,50.2968844,16.654958
5455119,50.625,13.86361
5433104,49.63583,18.71722
5433555,49.51305,16.24805
5433585,49.39305,17.66555
5455116,49.74166,14.66611
5433852,49.41722,17.95861
5107230,50.3429791,18.9151611
5617365,49.2074325,18.5533472
5454551,50.30555,14.60361
5433615,48.96888,17.26277
5436175,48.93666,17.28916
5433475,48.97027,17.29416
5616690,48.6791336,21.8345754
8010632,50.5076,13.0299
5454933,49.70583,15.73361
5454819,50.55388,13.77194
5454829,50.54027,13.75944
5454799,50.5719809,13.7864614
5433064,49.75305,18.01388
5433085,49.2425,16.67333
5456730,50.45166,15.73277
5453540,50.0173026,16.7476122
5457562,50.82111,14.91722
5454852,50.87583,15.20611
5434805,49.36277,15.73472
8011785,53.4741982,10.6243802
5476754,49.90944,14.17833
5434554,49.58333,17.80027
5455319,50.45222,13.76638
5475575,49.58861,12.72055
5475585,49.59194,12.70861
5456898,50.48805,14.83583
5456908,50.49305,14.78694
5456918,50.5,14.86888
5456630,50.5325694,15.4424985
5456660,50.53361,15.44555
5473162,49.50388,13.88583
5456401,50.18583,15.34111
5473695,49.30444,13.30361
5473696,49.293943,13.318629
5105549,50.7442579,15.9901005
5474845,49.8425,13.58722
5433425,48.75361,16.89277
5433995,49.34888,17.45527
5475485,49.87305,12.9675
5454243,49.63222,15.61611
5454341,50.54555,15.03611
5456219,50.76083,14.24361
5476934,49.55833,13.96388
5453719,50.3958692,13.4210638
5455941,50.41333,15.00527
5454959,50.35138,13.72194
5433437,49.63333,16.52
5433447,49.65527,16.50833
5453750,50.60472,16.23444
5434865,48.8125,16.55444
5433485,48.87277,16.3675
5454207,50.4127658,14.1148385
5433232,49.91305,17.3825
5435232,49.91777,17.40277
5433242,49.91222,17.36972
5454569,50.4078476,13.7230368
5454117,50.36333,14.21805
5475465,49.83111,12.98111
5455620,50.32555,15.71666
5455253,49.90555,16.20611
5455263,49.90083,16.21861
5453166,50.07777,15.07944
5473144,49.83666,13.83666
5436295,49.58777,16.70472
5456126,49.74944,15.0625
5454167,50.3592866,14.1489767
5435695,48.75972,16.8425
5106790,49.9259204,18.311311
5475035,50.07361,12.38055
5475036,50.07388,12.34805
5475025,50.05138,12.40861
5475964,50.07583,13.77722
5453050,50.16333,15.45722
5475322,48.87,14.41944
5454596,50.26722,14.45638
5475335,49.62277,13.29194
5453677,50.34416,13.84555
5456436,49.89555,15.05611
5455936,49.86972,14.80583
5453813,49.99388,16.22361
5474055,50.23138,12.75361
5474955,49.9025,12.725
5473825,49.36527,13.06777
5434102,49.65805,17.06083
5455743,49.98916,15.64277
5453489,50.45666,13.39944
5453509,50.46972,13.41361
5455749,50.72361,14.18583
5434037,49.67694,16.745
5107310,50.2784252,18.9446804
5455219,50.54722,13.98888
5456496,49.97027,15.12111
5455276,49.47277,14.66833
5453146,50.07138,14.99611
5457542,50.8375,14.87083
5473492,49.07861,14.52916
5454923,49.71166,15.68222
5453609,50.267784,13.3511476
5433244,49.77888,18.6
5453359,50.57555,13.78444
5454481,50.33944,14.81027
5456990,50.51888,15.75972
5455469,50.44194,14.07027
5474705,49.65694,13.19805
5453040,50.14583,15.32888
5454693,49.90111,15.91055
5457552,50.81305,14.95194
5457572,50.79694,14.95777
5433552,50.14305,16.94944
5473862,48.9563559,14.0550849
5434105,49.36944,17.36111
5456626,50.065,14.99694
5454653,49.94805,15.78666
5455553,49.9575,15.79388
5454673,49.95916,15.78083
5455796,49.83944,14.57694
5473245,49.78527,13.4975
5473255,49.79222,13.48972
5474105,49.8,13.49666
5455068,50.1418839,13.6634225
5453426,50.1484864,13.6708714
5433594,49.98861,18.11305
5434112,49.69388,17.04
5453503,50.03722,15.41861
5457330,50.59916,16.03777
5474012,49.1645025,14.2928024
5435295,49.32111,17.11111
5454406,50.23972,14.3375
5474582,49.3417089,14.984291
5473335,50.11111,13.24777
5474322,49.41555,14.81055
5454876,50.05888,14.21194
5454886,50.05166,14.22083
5456205,49.71222,15.19444
5456215,49.70777,15.235
5456749,50.8675,14.52388
5455840,50.50055,15.33666
5107565,49.7512979,18.6362398
5474555,50.1792081,12.8414766
5475905,50.16444,12.61555
5436965,48.87888,15.97722
8012008,50.5113429,12.9930622
5454237,50.37833,14.30638
5106812,50.148788,18.6851834
5106807,50.1566873,18.6643017
5106852,49.9740476,18.4253931
5454034,49.9425,15.32888
5454336,50.36611,14.41833
5473445,50.25472,12.88638
5475925,50.13916,12.56694
5455696,49.8875,14.39833
5474882,49.08583,15.43916
5474872,49.07833,15.43972
5475405,49.45083,13.28611
5454972,50.75333,15.30888
5454974,50.76388,15.33527
5454973,50.75916,15.31388
5476965,49.27722,13.175
5453367,50.2256686,13.6062555
5433155,49.0979704,17.9150593
5455409,50.46666,13.96805
